company_id,category_code,status,country_code,state_code,city,region,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol,acquired_at,ipo,is_acquired,is_closed,age,mba_degree,phd_degree,ms_degree,other_degree,offices,average_raised_amount_usd,average_participants,total_rounds
c:80384,health,operating,USA,CA,Irvine,Los Angeles,,,,,,,,False,False,False,2557.0,3.0,,1.0,7.0,1.0,11132494.5,0.5,2
c:80391,medical,operating,USA,CA,San Francisco,SF Bay,,,,,,,,False,False,False,1826.0,,,,,1.0,750000.0,0.0,1
c:80392,biotech,operating,USA,MA,Boston,Boston,,,,,,,,False,False,False,,,,,,1.0,5000000.0,1.0,1
c:80396,music,operating,,,,unknown,,,,,,,,False,False,False,,,,,,,1500000.0,0.0,1
c:80397,,acquired,USA,VT,Charlotte,Charlotte,,,,,,,2011-06-27,False,True,False,,,,,,1.0,,3.0,1
c:80398,biotech,operating,USA,MD,Glen Burnie,Washington DC,,,,,,,,False,False,False,,,,,2.0,1.0,21538705.5,1.5,2
c:80400,games_video,closed,USA,TX,Houston,Houston,,,,,,,,False,False,True,762.0,,,,1.0,1.0,120000.0,1.0,1
c:80408,biotech,operating,DEU,,Martinsried,Martinsried,,,,,,,,False,False,False,2557.0,,,,,4.0,,5.0,1
c:80415,ecommerce,operating,,,,unknown,,,,,,,,False,False,False,1461.0,1.0,,2.0,2.0,,,1.0,1
c:80421,software,operating,BEL,,Brussels,Brussels,,,,,,,,False,False,False,1979.0,,,1.0,1.0,1.0,503732.0,0.0,2
c:80433,software,acquired,USA,CA,Sunnyvale,SF Bay,,,,,,,2012-02-15,False,True,False,1498.0,2.0,1.0,1.0,7.0,1.0,3000000.0,2.0,1
c:80435,mobile,operating,USA,CA,San Diego,San Diego,,,,,,,,False,False,False,2101.0,2.0,,2.0,2.0,1.0,25033370.666666668,1.3333333333333333,3
